true_key,pred_key,margin,n_candidates,true_sim,pred_sim,address,train_photos_true,train_photos_pred,same_address
Ballonggatan|3,Ballonggatan|2,0.0002524852752685547,2,0.9966772794723511,0.9969297647476196,Ballonggatan,3,2,True
Drottningholmsvägen Abrahamsberg-Stora mossen|17,Drottningholmsvägen Abrahamsberg-Stora mossen|12,0.001067042350769043,32,0.997406542301178,0.998473584651947,Drottningholmsvägen Abrahamsberg-Stora mossen,18,17,True
Drottningholmsvägen Abrahamsberg-Stora mossen|18,Drottningholmsvägen Abrahamsberg-Stora mossen|13,0.00012308359146118164,32,0.9992176294326782,0.9993407130241394,Drottningholmsvägen Abrahamsberg-Stora mossen,17,18,True
Drottningholmsvägen Abrahamsberg-Stora mossen|19,Drottningholmsvägen Abrahamsberg-Stora mossen|12,0.004707276821136475,32,0.9930109977722168,0.9977182745933533,Drottningholmsvägen Abrahamsberg-Stora mossen,18,17,True
Drottningholmsvägen Abrahamsberg-Stora mossen|19,Drottningholmsvägen Abrahamsberg-Stora mossen|6,0.00014287233352661133,32,0.9985105395317078,0.9986534118652344,Drottningholmsvägen Abrahamsberg-Stora mossen,18,17,True
Drottningholmsvägen Abrahamsberg-Stora mossen|20,Drottningholmsvägen Abrahamsberg-Stora mossen|9,0.0001970529556274414,32,0.9978828430175781,0.9980798959732056,Drottningholmsvägen Abrahamsberg-Stora mossen,19,18,True
Drottningholmsvägen Abrahamsberg-Stora mossen|20,Drottningholmsvägen Abrahamsberg-Stora mossen|16,0.0016025304794311523,32,0.997032880783081,0.9986354112625122,Drottningholmsvägen Abrahamsberg-Stora mossen,19,17,True
Drottningholmsvägen Abrahamsberg-Stora mossen|21,Drottningholmsvägen Abrahamsberg-Stora mossen|17,0.0011532902717590332,32,0.9968658089637756,0.9980190992355347,Drottningholmsvägen Abrahamsberg-Stora mossen,19,18,True
Drottningholmsvägen Abrahamsberg-Stora mossen|21,Drottningholmsvägen Abrahamsberg-Stora mossen|17,0.0020285844802856445,32,0.9965925216674805,0.9986211061477661,Drottningholmsvägen Abrahamsberg-Stora mossen,19,18,True
Drottningholmsvägen Abrahamsberg-Stora mossen|22,Drottningholmsvägen Abrahamsberg-Stora mossen|5,0.0008085966110229492,32,0.9977586269378662,0.9985672235488892,Drottningholmsvägen Abrahamsberg-Stora mossen,17,19,True
Drottningholmsvägen Abrahamsberg-Stora mossen|23,Drottningholmsvägen Abrahamsberg-Stora mossen|4,0.00014799833297729492,32,0.9972281455993652,0.9973761439323425,Drottningholmsvägen Abrahamsberg-Stora mossen,18,19,True
Drottningholmsvägen Abrahamsberg-Stora mossen|23,Drottningholmsvägen Abrahamsberg-Stora mossen|4,0.0008925199508666992,32,0.9981787800788879,0.9990713000297546,Drottningholmsvägen Abrahamsberg-Stora mossen,18,19,True
Drottningholmsvägen Abrahamsberg-Stora mossen|24,Drottningholmsvägen Abrahamsberg-Stora mossen|31,0.0016232728958129883,32,0.9934109449386597,0.9950342178344727,Drottningholmsvägen Abrahamsberg-Stora mossen,18,12,True
Drottningholmsvägen Abrahamsberg-Stora mossen|24,Drottningholmsvägen Abrahamsberg-Stora mossen|25,8.821487426757812e-06,32,0.9984029531478882,0.9984117746353149,Drottningholmsvägen Abrahamsberg-Stora mossen,18,19,True
